incoming,your_reply
I bet no one would 🤣🤣 I'm thinking I should probably give a presentation in the near future about my project. But I need to complete more phases.,"Saw this nd got to know the interview experience too,  they ask Dynamic programming and greedy techniques and trees,  graphs more. I haven't practiced even a single question from this"
No time given to practice?,Nope
With 40k they want more i guess at the very beginning. Okay leave let's just keep working on what we have.,Need more time to understand the concepts and to solve questions need even more time
Good 👍🏻  If only we could partners who could compliment We could do a lot more.  We have ideas but not manpower.,Yeah back-end is almost over. You shared were right.
"Okay, good. I have contributed something 😅",I want to implement all file upload options
Do I need something? Storing the file in db right? Can you refresh me the idea.,"Yes let's go. We thought of bringing someone for frontend,  but 😂"
🤣,"Right now we have only PDF upload option, so we need to add all file upload options. Storing files in db won't be that useful I think"
Then what to do? For it?,Oh oh oh OK. Which girl? 😂
Haha Will tell when it's time 😉,We need to work on the backend to enable all file upload options
"Hmmm. Okay let me keep a target, probably next month.",Even I don't know let's figure out.
I need to practice a lot. I never gave a presentation against a crowd. Only in video calls.,OK bro I will let you know
Okay then i need to go. Also think about SE.,OK let's go
I will also help.,OK bro
Just research about how it's done. We can later discuss who does what in the class.,OK
And we will do the necessary.,Yeah understood
Going to the placements?,No
No I have my reasons.,Yeah they were
Hi,hae bro
Guide me,Crowded one seems to be difficult.
I have no experience 😔,"Like to interact continuously or some romantic convos. If we go to crowded place, then the person sitting beside you will stare at you people. Privacy issue"
"Surely experience, i can see that.",Who me?
Just for future use. So nothing special 😊,Can't believe
It's the truth! I will tell you if I ever go.,"Haha, some good and bad old memories"
"See, that's the experience 😄",haha no.
I found out that there is something called uncensored ai.,What is that?
"Other AI probably won't, especially against Israel.",Oh nice
I have a doubt.,?
It's alright. But did you tried to install the ssh?,I have slept yesterday evening and got up today   at 4
Okay try today then,"Probably I won't get the laptop today also. I may get after 2 days, I will try then"
"main technologies are AI, machine learning, cloud computing, data engineering (snowflake,tableau, power BI), Dev ops, networking",Nope
Oh okay. I got confused.,Ok
For git.,"Probably I won't get the laptop today also. I may get after 2 days, I will try then"
Okay,In class?
Yes,Ok
Yeah,OK I am coming directly to lab
Oh why?,Got up now so
Okay,OK bro
"If you give a file path (for now) it checks whether it has ""pdf' at the very end. If not it will execute the else part.",OK
Then use that only.,What about other file types?
"What all the other types, can you list it?","No. PDF is already done. I have asked you about other ones like word,  csv,. Txt"
So we are gonna take almost all file types. Then no need for validations. The types of files we need to take.,Yes
And does spring boot don't have components for those files?,Nope
Is there any other way out?,Which one? Gemini
Yes,No  it can't do
It's gonna take forever.,"OK, but we may not have other options. I don't know"
ppt and .pptx - Apache POI .csv	- OpenCSV .txt	 - Java I/O,OK I will try to see how it works
"Okay, java is better in these situations.",Ok
"For smaller slides python works well but when the file gets bigger java needs to handle it. As your application is a real world application so it would make sense, we can expect more size.",Yes right
Hi are you doing any DBMS project with Vijay?,He asked and I didn't say no.
So I will work on a different project for DBMS.,OK
Classes at 11:30 right?,"Bro I have asked him. He said that others have formed team like his friends,  so he said to join with me is the only option."
Okay.,2 maybe
Okay that's better. Saying no for his request would be in bad taste.,Yeah
Does he or you have any project ideas?,Email automation
You are storing data using MySQL then?,Actually I'm planning to add time intervals to auto send mails.
Once confirm it with ma'am. Whether she will accept it or not.,Project?
Have you submitted the title or anything?,"Anyway I am  using MySQL right , so she will accept maybe"
Okay.,"No,  not yet"
Okay.,"OK then let's work on both the projects now,  if she accepts 3 in a team then we can go with yours"
Okay but ask her as soon as possible. Before submitting the title.,Ok will try today.
yesterday which lab?,Python
You got the yellow book?,Upto 7
7 as in are they giving sample programs for test?,"Yeah I have, will reach college within 11:10"
Okay,Do you have test today
"Yes, today is python lab for us.",OK bro
what does this program should do?,It adds an element in an already sorted list and if not sorted it sorts at the end
Okay,Okay
Okay,"Hi bro. If you are buying yellow books,  buy an extra one for me."
Didn't went to college,Coz tomorrow I will not come and Friday society will be closed
Any test?,Every Friday society will be closed right
Any tests?,"No, Monday we have tests right so"
Is that confirmed?,Yeah every teacher is saying that
Okay.,OK bro take cash
Okay,OK
What's this?,Like it has some crazy automations that can solve some ral world problems <This message was edited>
Saw some,Many have done already and We can get resources from this spreadsheet to learn and implement
You already have a good project why change now?,"No, I am not changing, just found this useful, so sent to you to have a glance"
You are trying to incorporate some of the ideas into your project. Am I right?,"Not thought yet, If I get something interesting then i will add for sure"
For the AI project.,Yeah I should
What was the issue for video generation? No api or need a good pc?,"Yeah, but I dont know how to implement"
Okay. What about image generation? Does it also have both issues?,Havn't researched about it
Okay.,"But these features , can be gamechangers"
